,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
3190,80,3.6,69,1029,15.0,13.67,13.31,8.46,14.05,1
3191,80,4.1,54,1034,13.3,10.47,10.03,2.45,11.42,1
3192,170,4.1,80,1028,17.2,15.32,15.6,12.43,15.87,1
3193,190,4.6,76,1022,22.2,21.12,21.73,17.13,21.54,1
3194,210,4.6,93,1017,23.27,22.03,23.28,21.35,22.54,2
3195,350,3.6,80,1012,17.93,17.03,17.41,14.02,17.51,1
3196,40,7.7,77,1023,14.16,13.61,13.35,9.93,13.89,1
3197,30,10.8,71,1028,11.1,9.97,9.51,5.52,10.55,2
3198,50,10.8,66,1032,12.42,11.8,11.13,5.99,12.14,1
3199,30,5.7,71,1027,11.23,10.16,9.84,5.81,10.85,1
3200,20,2.6,79,1021,12.8,11.08,11.14,8.32,11.84,1
3201,0,0.0,63,1015,14.02,12.79,12.44,6.51,13.4,1
3202,20,1.5,74,1015,16.7,15.13,15.11,10.96,15.57,1
3203,140,4.1,66,1021,12.2,11.3,10.65,5.57,11.7,1
3204,240,6.7,80,1007,17.8,16.71,16.81,13.5,16.97,2
3205,160,3.6,68,1019,11.7,8.9,7.83,4.09,9.7,1
3206,220,6.2,59,1010,16.1,14.64,14.14,7.1,15.04,1
3207,190,4.1,80,1009,16.7,15.75,16.07,12.85,16.3,1
3208,200,6.2,84,999,18.47,18.02,18.28,15.46,18.21,1
3209,290,5.7,53,1007,15.0,13.82,13.21,4.9,14.34,1
3210,220,3.6,52,1014,13.3,10.63,10.04,1.98,11.48,1
3211,280,3.6,45,1015,13.9,9.9,9.34,-0.4,11.01,1
3212,330,7.2,49,1019,8.3,6.91,3.87,-2.09,7.66,1
3213,330,5.1,37,1026,3.9,2.15,-1.13,-9.08,3.07,1
3214,220,4.6,36,1025,7.2,6.04,3.42,-6.63,6.52,1
3215,180,2.6,55,1020,15.0,14.62,13.77,5.86,14.8,1
3216,70,1.5,89,1027,12.64,12.0,11.83,10.47,12.23,1
3217,220,5.1,48,1016,19.4,17.58,17.34,7.03,18.21,1
3218,350,5.7,49,1027,8.3,5.51,3.12,-2.91,6.66,1
3219,120,2.6,70,1027,9.05,8.08,7.07,3.43,8.58,1
3220,280,5.7,66,1019,13.84,13.3,12.77,7.4,13.63,1
3221,170,2.6,65,1032,7.8,4.88,4.14,0.03,6.11,1
3222,140,4.1,73,1035,9.4,6.62,4.98,3.06,7.58,1
3223,130,7.7,93,1017,13.67,13.15,13.26,12.32,13.43,2
3224,250,6.7,37,1000,17.8,17.24,16.18,2.59,17.42,1
3225,320,4.6,38,1016,10.6,8.34,6.66,-3.93,9.13,1
3226,190,5.1,51,1020,10.16,9.46,7.24,0.11,9.75,1
3227,230,5.1,71,1011,13.9,13.06,12.64,8.25,13.39,1
3228,150,2.1,82,1019,11.7,10.64,10.34,8.09,11.04,1
3229,300,3.1,44,1022,18.9,14.33,13.84,2.97,15.12,1
3230,170,3.1,79,1027,12.49,11.7,11.59,8.72,12.25,1
3231,220,4.1,72,1021,19.4,17.2,17.69,12.84,17.96,1
3232,220,7.2,78,1009,20.7,19.1,20.0,15.97,19.92,1
3233,290,5.1,46,1016,12.28,11.68,10.54,0.82,12.08,1
3234,250,5.7,39,1028,11.1,7.17,5.23,-4.26,8.33,1
3235,200,2.1,49,1028,10.6,8.14,7.98,-0.98,9.03,1
3236,40,4.1,79,1018,10.07,9.18,7.58,6.23,9.69,2
3237,10,6.2,89,1014,9.23,8.3,5.77,7.18,8.89,1
3238,130,2.6,96,1002,12.4,10.6,11.63,11.26,11.88,2
3239,270,9.3,45,1002,10.92,10.38,9.0,-0.65,10.7,1
3240,280,5.1,47,1019,4.37,3.5,-0.05,-5.63,3.93,1
3241,220,4.1,48,1019,11.1,9.79,8.46,-0.32,10.14,1
3242,350,5.7,30,1025,10.0,8.67,6.35,-6.62,9.22,1
3243,150,2.6,67,1036,4.4,1.46,-0.31,-2.76,2.37,1
3244,180,3.6,76,1034,6.1,4.64,2.73,1.63,5.52,1
3245,150,3.6,89,1022,12.45,11.1,11.56,10.23,11.98,1
3246,310,5.1,40,1020,10.6,8.53,6.58,-3.25,9.22,1
3247,10,2.6,67,1021,4.73,3.0,1.53,-1.45,3.92,1
3248,340,2.1,88,1013,7.3,6.7,5.64,5.18,7.03,2
3249,310,5.7,31,1019,1.1,-0.07,-4.51,-13.02,0.62,1
3250,250,3.1,38,1031,5.0,0.76,-1.0,-9.52,2.15,1
3251,150,4.1,67,1045,5.6,1.64,-0.48,-2.1,3.15,1
3252,170,3.1,89,1040,10.27,8.3,8.08,7.97,9.69,1
3253,210,6.7,71,1023,14.57,13.68,13.42,8.93,14.1,1
3254,20,4.1,85,1022,6.53,5.95,3.43,3.99,6.32,1
3255,340,6.2,47,1027,3.06,1.63,-2.44,-6.86,2.44,1
3256,160,3.6,63,1031,2.2,0.42,-2.24,-4.28,1.44,1
3257,110,3.1,85,1022,6.7,4.17,2.96,3.12,5.44,2
3258,0,0.0,96,1006,9.83,7.31,8.66,8.06,8.66,2
3259,280,7.2,50,1013,6.84,6.51,2.68,-2.6,6.74,1
3260,300,3.1,55,1032,7.8,6.33,4.53,-1.46,6.74,1
3261,160,3.6,78,1037,5.65,3.67,1.78,1.24,4.74,1
3262,210,2.6,65,1025,7.8,5.38,4.57,0.38,6.48,1
3263,40,2.1,76,1019,7.8,5.87,5.39,2.89,6.82,1
3264,20,4.1,69,1021,4.65,3.75,0.94,-0.77,4.3,1
